Date,Odometer (km),A⋅h,SoH (%),Hx (%),Fast charges,"Type 1,2 charges"
2020-10-25,39481,53.48,81.77,75.38,27,1396
2020-11-17,40000,53.10,81.20,74.72,27,1417
2020-12-24,41386,56.42,86.27,80.88,37,1434
2021-01-04,42111,55.84,85.38,79.76,46,1440
2021-02-08,42834,52.80,80.73,74.16,46,1469
2021-04-03,44197,52.64,80.51,73.90,46,1524
2021-05-06,45048,52.05,79.85,72.79,46,1572
2021-06-05,45760,51.90,79.36,72.54,47,1618
2021-07-02,46232,51.72,79.08,72.20,47,1644
2021-08-01,46912,51.72,79.09,72.22,47,1682
2021-09-02,47279,51.93,79.41,72.59,48,1698
2021-10-01,48032,51.72,79.08,72.21,49,1732
2021-11-01,48860,51.10,78.13,71.08,50,1772
