Date,Odometer (km),A⋅h,SoH (%),Hx (%),Fast charges,"Type 1,2 charges"
2019-10-07,31060,55.31,84.53,77.15,12,1160
2019-10-12,31873,57.96,88.63,83.85,21,1173
2019-10-20,32013,57.05,87.24,82.10,21,1176
2019-10-27,32184,56.45,86.32,80.94,21,1178
2019-11-03,32322,55.99,85.61,80.04,21,1179
2019-12-01,33031,55.16,84.35,78.46,21,1189
2019-12-09,33309,55.28,84.52,78.67,22,1192
2019-12-15,33463,55.05,84.18,78.24,23,1199
2019-12-22,33661,55.90,85.47,79.87,25,1206
2020-03-10,35585,54.45,83.26,77.15,25,1275
2020-08-23,38123,54.09,82.71,76.50,27,1359
2020-10-25,39481,53.48,81.77,75.38,27,1396
